Party,Title,State,Full Name,Committees,Years in this Chamber,Gun Rights,NRA Grand Total,Top Industry,Total Industry Amount,Top Contributor,Total Contributor Amount,@Photo
Republican,Senator,North Dakota,John Hoeven,"Agriculture, Nutrition, and Forestry
Appropriations 
Energy and Natural Resources
Homeland Security and Governmental Affairs 
Committee on Indian Affairs",7,"$54,550","$21,050",Oil & Gas,"$638,962",Murray Energy,"$63,804",/Users/enickles/Desktop/thumbsbw/Hoeven_John.jpg
Republican,Representative,North Carolina,George Holding,Ways and Means ,5,"$21,446","$8,797",Lawyers/Law Firms,"$443,345",Ward & Smith,"$126,550",/Users/enickles/Desktop/thumbsbw/Holding_George.jpg
Republican,Representative,Indiana,Trey Hollingsworth,Financial Services ,1,"$7,865","$4,865",Insurance,"$82,250",Credit Union National Assn,"$12,000",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Maryland,Steny H. Hoyer,Democratic Whip ,37,$0,$0,Health Professionals,"$1,991,841",AT&T Inc,"$153,900",/Users/enickles/Desktop/thumbsbw/Hoyer_Steny_H.jpg
Republican,Representative,North Carolina,Richard Hudson,Energy and Commerce ,5,"$36,174","$19,525",Leadership PACs,"$452,380",Hendrick Motorsports,"$52,500",/Users/enickles/Desktop/thumbsbw/Hudson_Richard.jpg
Democrat,Representative,California,Jared Huffman,"Natural Resources  
Transportation and Infrastructure ",5,$0,$0,Retired,"$381,563",Carpenters & Joiners Union,"$35,250",/Users/enickles/Desktop/thumbsbw/Huffman_Jared.jpg
Republican,Representative,Michigan,Bill Huizenga,Financial Services ,7,"$30,250","$11,650",Insurance,"$563,398",Amway/Alticor Inc,"$89,600",/Users/enickles/Desktop/thumbsbw/Huizenga_Bill.jpg
Republican,Representative,Illinois,Randy Hultgren,"Financial Services  
Science, Space, and Technology ",7,"$19,254","$16,254",Securities & Investment,"$705,200",Performance Trust Capital Partners,"$192,050",/Users/enickles/Desktop/thumbsbw/Hultgren_Randy.jpg
Republican,Representative,California,Duncan D. Hunter,"Armed Services  
Education and the Workforce  
Transportation and Infrastructure ",9,"$41,087","$13,000",Defense Aerospace,"$307,200",General Atomics,"$95,750",/Users/enickles/Desktop/thumbsbw/Hunter_Duncan_D.jpg
Republican,Representative,Texas,Will Hurd,"Homeland Security  
Oversight and Government Reform  
Permanent Select Committee on Intelligence ",3,"$75,821","$27,771",Leadership PACs,"$652,119",Hunt Companies,"$55,338",/Users/enickles/Desktop/thumbsbw/Hurd_Will.jpg
Republican,Senator,Oklahoma,James M. Inhofe,"Armed Services
Commerce, Science, and Transportation
Environment and Public Works 
Small Business and Entrepreneurship",24,"$127,358","$65,191",Oil & Gas,"$1,858,227",Koch Industries,"$105,150",/Users/enickles/Desktop/thumbsbw/Inhofe_James_M.jpg
Republican,Senator,Georgia,Johnny Isakson,"Finance 
Foreign Relations
Health, Education, Labor, and Pensions
Veterans' Affairs
Select Committee on Ethics",13,"$172,309","$130,809",Real Estate,"$3,393,671",Home Depot,"$266,100",/Users/enickles/Desktop/thumbsbw/Isakson_Johnny.jpg
Republican,Representative,California,Darrell E. Issa,"Foreign Affairs  
Judiciary  
Oversight and Government Reform ",17,"$62,006","$37,636",Retired,"$947,796",AT&T Inc,"$85,100",/Users/enickles/Desktop/thumbsbw/Issa_Darrell_E.jpg
Democrat,Representative,Texas,Sheila Jackson Lee,"Budget  
Homeland Security  
Judiciary ",23,$0,$0,Health Professionals,"$575,966",Communications Workers of America,"$114,000",/Users/enickles/Desktop/thumbsbw/Jackson_Lee_Sheila.jpg
Democrat,Representative,Washington,Pramila Jayapal,"Budget  
Judiciary ",1,$0,$0,Retired,"$82,196",Sheet Metal Workers Union,"$15,500",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,New York,Hakeem S. Jeffries,"Budget  
Judiciary ",5,$0,$0,Lawyers/Law Firms,"$641,130","Paul, Weiss et al","$132,550",/Users/enickles/Desktop/thumbsbw/Jeffries_Hakeem_S.jpg
Republican,Representative,West Virginia,Evan H. Jenkins,Appropriations ,3,"$5,250","-$1,552",Health Professionals,"$500,716",Steptoe & Johnson,"$80,850",/Users/enickles/Desktop/thumbsbw/Jenkins_Evan_H.jpg
Republican,Representative,Kansas,Lynn Jenkins,Ways and Means ,9,"$30,000","$8,000",Health Professionals,"$638,327",QC Holdings,"$153,200",/Users/enickles/Desktop/thumbsbw/Jenkins_Lynn.jpg
Republican,Representative,Ohio,Bill Johnson,"Budget  
Energy and Commerce 
Joint Committee on Taxation",7,"$79,761","$56,656",Oil & Gas,"$482,916",Brilex Industries,"$72,977",/Users/enickles/Desktop/thumbsbw/Johnson_Bill.jpg
Democrat,Representative,Texas,Eddie Bernice Johnson,"Science, Space, and Technology  
Transportation and Infrastructure ",25,$0,$0,Lawyers/Law Firms,"$496,106",American Assn for Justice,"$105,000",/Users/enickles/Desktop/thumbsbw/Johnson_Eddie_Bernice.jpg
Democrat,Representative,Georgia,"Henry C. ""Hank Johnson Jr.","Judiciary  
Transportation and Infrastructure ",11,$0,-$678,Lawyers/Law Firms,"$310,350",American Assn for Justice,"$65,000",/Users/enickles/Desktop/thumbsbw/Johnson_Henry_C._.jpg
Republican,Representative,Louisiana,Mike Johnson,"Judiciary  
Natural Resources ",1,"$8,742","$7,223",Leadership PACs,"$46,000",House Freedom Fund,"$30,000",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Senator,Wisconsin,Ron Johnson,"Budget
Commerce, Science, and Transportation
Foreign Relations
Homeland Security and Governmental Affairs ",7,"$1,254,297","$1,269,486",Retired,"$6,283,444",Club for Growth,"$525,533",/Users/enickles/Desktop/thumbsbw/Johnson_Ron.jpg
Republican,Representative,Texas,Sam Johnson,Ways and Means ,27,"$46,514","$35,014",Insurance,"$792,633",National Auto Dealers Assn,"$116,500",/Users/enickles/Desktop/thumbsbw/Johnson_Sam.jpg
Democrat,Senator,Alabama,Doug Jones,"Banking, Housing, and Urban Affairs
Health, Education, Labor, and Pensions
Homeland Security and Governmental Affairs 
Special Committee on Aging",< 1,$0,"-$74,759",Democratic/Liberal,"$3,580,294",University of Alabama,"$149,139",/Users/enickles/Desktop/thumbsbw/Jones_Walter_B.jpg
Republican,Representative,North Carolina,Walter B. Jones Jr.,Armed Services ,23,"$63,405","$56,655",Health Professionals,"$567,587",Democracy Engine,"$89,090",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Ohio,Jim Jordan,"Judiciary  
Oversight and Government Reform ",11,"$38,928","$15,878",Misc Manufacturing & Distributing,"$402,750",American Dental Assn,"$59,000",/Users/enickles/Desktop/thumbsbw/Jordan_Jim.jpg
Republican,Representative,Ohio,David P. Joyce,Appropriations ,5,"$78,222","$47,921",Leadership PACs,"$422,203",Park Ohio Holdings,"$50,900",/Users/enickles/Desktop/thumbsbw/Joyce_David_P.jpg
Democrat,Senator,Virginia,Tim Kaine,"Armed Services
Budget
Foreign Relations
Health, Education, Labor, and Pensions",5,$0,"-$713,155",Lawyers/Law Firms,"$3,753,613",JStreetPAC,"$280,393",/Users/enickles/Desktop/thumbsbw/Kaine_Tim.jpg
Democrat,Representative,Ohio,Marcy Kaptur,Appropriations ,35,$0,$0,Industrial Unions,"$702,570",Machinists/Aerospace Workers Union,"$136,000",/Users/enickles/Desktop/thumbsbw/Kaptur_Marcy.jpg
Republican,Representative,New York,John Katko,"Homeland Security  
Transportation and Infrastructure ",3,"$55,001","$46,001",Leadership PACs,"$469,541",Elliott Management,"$55,816",/Users/enickles/Desktop/thumbsbw/Katko_John.jpg
Democrat,Representative,Massachusetts,William R. Keating,"Foreign Affairs  
Homeland Security ",7,$0,"-$34,202",Lawyers/Law Firms,"$556,278",Commonwealth of Massachusetts,"$60,947",/Users/enickles/Desktop/thumbsbw/Keating_William_R.jpg
Republican,Representative,Pennsylvania,Mike Kelly,Ways and Means ,7,"$48,109","$32,109",Insurance,"$409,760",Armstrong Group of Companies,"$84,750",/Users/enickles/Desktop/thumbsbw/Kelly_Mike.jpg
Democrat,Representative,Illinois,Robin L. Kelly,"Foreign Affairs  
Oversight and Government Reform ",5,$0,-$10,Lawyers/Law Firms,"$163,072",United Food & Commercial Workers Union,"$32,900",/Users/enickles/Desktop/thumbsbw/Kelly_Robin_L.jpg
Republican,Representative,Mississippi,Trent Kelly,"Agriculture  
Armed Services  
Small Business ",3,"$8,750","$2,000",Leadership PACs,"$98,900",Dunlap & Kyle,"$25,800",/Users/enickles/Desktop/thumbsbw/Kelly_Trent.jpg
Democrat,Representative,Massachusetts,Joe III Kennedy,Energy and Commerce ,5,$0,$0,Securities & Investment,"$1,358,921",Harvard University,"$94,319",/Users/enickles/Desktop/thumbsbw/Kennedy_John.jpg
Republican,Senator,Louisiana,John Kennedy,"Appropriations 
Banking, Housing, and Urban Affairs
Budget 
Small Business and Entrepreneurship
Judiciary",1,"$255,438","$215,788",Retired,"$700,510",Morris & Dickson,"$40,500",/Users/enickles/Desktop/thumbsbw/Kennedy_Joseph_P.jpg
Democrat,Representative,California,Ro Khanna,"Armed Services  
Budget ",1,$0,$0,Securities & Investment,"$337,463",Alphabet Inc,"$30,409",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Nevada,Ruben J. Kihuen,Financial Services ,1,$0,"-$16,748",Leadership PACs,"$112,500",AmeriPAC: The Fund for a Greater America,"$17,000",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Michigan,Daniel T. Kildee,Financial Services ,5,$0,$0,Casinos/Gambling,"$215,428",Quicken Loans,"$39,550",/Users/enickles/Desktop/thumbsbw/Kildee_Daniel_T.jpg
Democrat,Representative,Washington,Derek Kilmer,"Appropriations 
Joint Select Committee on Budget and Appropriations Process Reform",5,$0,"-$2,706",Retired,"$327,659",Microsoft Corp,"$102,450",/Users/enickles/Desktop/thumbsbw/Kilmer_Derek.jpg
Democrat,Representative,Wisconsin,Ron Kind,Ways and Means ,21,"$59,166","$10,282",Insurance,"$1,383,330",Northwestern Mutual,"$209,910",/Users/enickles/Desktop/thumbsbw/Kind_Ron.jpg
Independent,Senator,Maine,Angus S. King Jr.,"Armed Services
Budget 
Energy and Natural Resources
Rules and Administration 
Select Committee on Intelligence",5,$0,"-$123,337",Retired,"$591,157",General Dynamics,"$41,250",/Users/enickles/Desktop/thumbsbw/King_Angus_S.jpg
Republican,Representative,New York,Peter T. King,"Financial Services  
Homeland Security  
Permanent Select Committee on Intelligence ",25,"$9,900","$9,900",Securities & Investment,"$837,980",Carpenters & Joiners Union,"$102,300",/Users/enickles/Desktop/thumbsbw/King_Peter_T.jpg
Republican,Representative,Iowa,Steve King,"Agriculture  
Judiciary  
Small Business ",15,"$141,705","$63,404",Republican/Conservative,"$674,318",Club for Growth,"$269,132",/Users/enickles/Desktop/thumbsbw/King_Steve.jpg
Republican,Representative,Illinois,Adam Kinzinger,"Energy and Commerce  
Foreign Affairs ",7,"$19,830","-$3,415",Leadership PACs,"$377,321",Exelon Corp,"$92,982",/Users/enickles/Desktop/thumbsbw/Kinzinger_Adam.jpg
Democrat,Senator,Minnesota,Amy Klobuchar,"Agriculture, Nutrition, and Forestry
Commerce, Science, and Transportation
Rules and Administration 
Judiciary 
Joint Committee on Printing 
Joint Committee on the Library 
Joint Economic Committee",11,"$2,000","-$140,915",Lawyers/Law Firms,"$2,646,492",EMILY's List,"$386,094",/Users/enickles/Desktop/thumbsbw/Klobuchar_Amy.jpg
Republican,Representative,California,Stephen Knight,"Armed Services  
Science, Space, and Technology  
Small Business ",3,"$26,028","$13,487",Leadership PACs,"$476,200",Majority Cmte PAC,"$25,000",/Users/enickles/Desktop/thumbsbw/Knight_Stephen.jpg
Democrat,Representative,Illinois,Raja Krishnamoorthi,"Education and the Workforce  
Oversight and Government Reform ",1,$0,$0,Health Professionals,"$330,583",Kirkland & Ellis,"$69,200",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,New Hampshire,Ann M. Kuster,"Agriculture  
Veterans' Affairs ",5,$0,"-$179,871",Retired,"$1,437,828",JStreetPAC,"$207,526",/Users/enickles/Desktop/thumbsbw/Kuster_Ann_M.jpg
Republican,Representative,Tennessee,David Kustoff,Financial Services ,1,"$5,000","$3,000",Real Estate,"$77,538",Brown Brothers Harriman & Co,"$17,700",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Idaho,Raul R. Labrador,"Judiciary  
Natural Resources ",7,"$22,313","$14,813",Leadership PACs,"$156,764",LCF Enterprises,"$40,600",/Users/enickles/Desktop/thumbsbw/Labrador_Raul_R.jpg
Republican,Representative,Illinois,Darin LaHood,"Ways and Means 
Joint Economic Committe",3,"$19,990","$17,990",Retired,"$192,733",Caterpillar Inc,"$50,560",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,California,Doug LaMalfa,"Agriculture  
Natural Resources  
Transportation and Infrastructure ",5,"$17,090","$9,590",Crop Production & Basic Processing,"$500,222",Ernst & Young,"$32,500",/Users/enickles/Desktop/thumbsbw/LaMalfa_Doug.jpg
Republican,Representative,Colorado,Doug Lamborn,"Armed Services  
Natural Resources ",11,"$58,050","$32,560",Leadership PACs,"$337,165",National Auto Dealers Assn,"$65,000",/Users/enickles/Desktop/thumbsbw/Lamborn_Doug.jpg
Republican,Representative,New Jersey,Leonard Lance,"Energy and Commerce  
Ethics ",9,"$1,000","$1,000",Pharmaceuticals/Health Products,"$771,600",Celgene Corp,"$88,750",/Users/enickles/Desktop/thumbsbw/Lance_Leonard.jpg
Democrat,Representative,Rhode Island,James R. Langevin,"Armed Services  
Homeland Security ",17,$0,$0,Lawyers/Law Firms,"$708,499",General Dynamics,"$177,750",/Users/enickles/Desktop/thumbsbw/Langevin_James_R.jpg
Republican,Senator,Oklahoma,James Lankford,"Appropriations 
Homeland Security and Governmental Affairs 
Indian Affairs
Joint Select Committee on Budget and Appropriations Process Reform 
Select Committee on Intelligence",3,"$57,080","$18,955",Oil & Gas,"$1,108,495",Devon Energy,"$109,820",/Users/enickles/Desktop/thumbsbw/Lankford_James.jpg
Democrat,Representative,Washington,Rick Larsen,"Armed Services  
Transportation and Infrastructure ",17,$0,"-$2,634",Transportation Unions,"$689,600",Microsoft Corp,"$229,325",/Users/enickles/Desktop/thumbsbw/Larsen_Rick.jpg
Democrat,Representative,Connecticut,John B. Larson,Ways and Means ,19,$0,$0,Insurance,"$1,693,139",United Technologies,"$347,600",/Users/enickles/Desktop/thumbsbw/Larson_John_B.jpg
Republican,Representative,Ohio,Robert E. Latta,Energy and Commerce ,11,"$76,847","$43,022",Retired,"$349,840",Marathon Petroleum,"$78,200",/Users/enickles/Desktop/thumbsbw/Latta_Robert_E.jpg
Democrat,Representative,Michigan,Brenda L. Lawrence,"Oversight and Government Reform  
Transportation and Infrastructure ",3,$0,$0,Real Estate,"$127,700",EMILY's List,"$40,564",/Users/enickles/Desktop/thumbsbw/Lawrence_Brenda_L.jpg
Democrat,Representative,Florida,Al Lawson Jr.,"Agriculture  
Small Business ",1,$0,"-$27,540",Crop Production & Basic Processing,"$35,500",JM Family Enterprises,"$10,000",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Senator,Vermont,Patrick J. Leahy,"Agriculture, Nutrition, and Forestry
Appropriations 
Rules and Administration 
Judiciary 
Joint Committee on the Library",43,"$9,000","$7,000",Lawyers/Law Firms,"$2,071,953",Time Warner,"$191,400",/Users/enickles/Desktop/thumbsbw/Leahy_Patrick_J.jpg
Democrat,Representative,California,Barbara Lee,"Appropriations  
Budget ",21,$0,$0,Lawyers/Law Firms,"$603,837",Teamsters Union,"$90,050",/Users/enickles/Desktop/thumbsbw/Lee_Barbara.jpg
Republican,Senator,Utah,Mike Lee,"Commerce, Science, and Transportation
Energy and Natural Resources
Judiciary 
Joint Economic Committee",7,"$41,416","$8,291",Republican/Conservative,"$807,453",Club for Growth,"$360,732",/Users/enickles/Desktop/thumbsbw/Lee_Mike.jpg
Democrat,Representative,Michigan,Sander M. Levin,Ways and Means ,35,$0,$0,Lawyers/Law Firms,"$1,191,656",General Motors,"$134,200",/Users/enickles/Desktop/thumbsbw/Levin_Sander_M.jpg
Republican,Representative,Minnesota,Jason Lewis,"Budget  
Education and the Workforce  
Transportation and Infrastructure 
Joint Commitee on Taxation",1,"$11,069","$7,619",Leadership PACs,"$140,250",Hubbard Broadcasting,"$20,500",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Georgia,John Lewis,Ways and Means ,31,$0,$0,Health Professionals,"$834,954",AFLAC Inc,"$122,503",/Users/enickles/Desktop/thumbsbw/Lewis_John.jpg
Democrat,Representative,California,Ted Lieu,"Foreign Affairs  
Judiciary ",3,$0,$0,Lawyers/Law Firms,"$378,881","Munger, Tolles & Olson","$67,488",/Users/enickles/Desktop/thumbsbw/Lieu_Ted.jpg
Democrat,Representative,Illinois,Daniel Lipinski,"Science, Space, and Technology  
Transportation and Infrastructure ",13,$0,-$20,Transportation Unions,"$401,700",BNSF Railway,"$71,741",/Users/enickles/Desktop/thumbsbw/Lipinski_Daniel.jpg
Republican,Representative,New Jersey,Frank A. LoBiondo,"Armed Services  
Transportation and Infrastructure  
Permanent Select Committee on Intelligence ",23,"$11,918","$1,536",Transportation Unions,"$979,811",Carpenters & Joiners Union,"$110,999",/Users/enickles/Desktop/thumbsbw/LoBiondo_Frank_A.jpg
Democrat,Representative,Iowa,David Loebsack,Energy and Commerce ,11,$0,"-$62,808",Leadership PACs,"$559,603",University of Iowa,"$226,265",/Users/enickles/Desktop/thumbsbw/Loebsack_David.jpg
Democrat,Representative,California,Zoe Lofgren,"Joint Committee on Printing (House Administration)
Joint Comittee on the Library (House Administration)
Judiciary  
Science, Space, and Technology ",23,$0,$0,Electronics Mfg & Equip,"$1,241,096","Fragomen, Del Rey et al","$146,906",/Users/enickles/Desktop/thumbsbw/Lofgren_Zoe.jpg
Republican,Representative,Missouri,Billy Long,Energy and Commerce ,7,"$31,874","$10,500",Health Professionals,"$339,300",Leggett & Platt,"$55,000",/Users/enickles/Desktop/thumbsbw/Long_Billy.jpg
Republican,Representative,Georgia,Barry Loudermilk,"Financial Services  
Science, Space, and Technology 
Joint Committee on the Library (House Administration)",3,"$13,900","$5,000",Leadership PACs,"$167,600",Club for Growth,"$68,959",/Users/enickles/Desktop/thumbsbw/Loudermilk_Barry.jpg
Republican,Representative,Utah,Mia B. Love,Financial Services ,3,"$94,132",-$645,Republican/Conservative,"$1,016,755",Blackstone Group,"$41,900",/Users/enickles/Desktop/thumbsbw/Love_Mia_B.jpg
Democrat,Representative,California,Alan S. Lowenthal,"Natural Resources  
Transportation and Infrastructure ",5,$0,-$890,Transportation Unions,"$214,916",Carpenters & Joiners Union,"$37,500",/Users/enickles/Desktop/thumbsbw/Lowenthal_Alan_S.jpg
Democrat,Representative,New York,Nita M. Lowey,"Appropriations 
Joint Select Committee on Budget and Appropriations Process Reform, Co-Chair",29,$0,$0,Securities & Investment,"$2,392,816",Goldman Sachs,"$180,390",/Users/enickles/Desktop/thumbsbw/Lowey_Nita_M.jpg
Republican,Representative,Oklahoma,Frank D. Lucas,"Agriculture  
Financial Services  
Science, Space, and Technology ",25,"$73,645","$52,121",Crop Production & Basic Processing,"$1,143,25",American Bankers Assn,"$118,134",/Users/enickles/Desktop/thumbsbw/Lucas_Frank_D.jpg
Republican,Representative,Missouri,Blaine Luetkemeyer,"Financial Services  
Small Business ",9,"$52,975","$39,375",Insurance,"$804,318",Diamond Pet Foods,"$118,850",/Users/enickles/Desktop/thumbsbw/Luetkemeyer_Blaine.jpg
Democrat,Representative,New Mexico,Ben Ray Lujan,Energy and Commerce ,9,"$5,500","$3,500",Casinos/Gambling,"$520,600",Votesane PAC,"$66,350",/Users/enickles/Desktop/thumbsbw/Lujan_Ben_Ray.jpg
Democrat,Representative,Massachusetts,Stephen F. Lynch,"Financial Services  
Oversight and Government Reform ",17,$0,$555,Real Estate,"$962,162",Ironworkers Union,"$103,700",/Users/enickles/Desktop/thumbsbw/Lynch_Stephen_F.jpg
Republican,Representative,New Jersey,Thomas MacArthur,Financial Services ,3,"$9,280","$7,280",Insurance,"$275,436",Votesane PAC,"$84,500",/Users/enickles/Desktop/thumbsbw/MacArthur_Thomas.jpg
Democrat,Representative,New York,Carolyn B. Maloney,"Financial Services  
Oversight and Government Reform 
Joint Economic Committee",25,$0,$0,Securities & Investment,"$1,728,338",JPMorgan Chase & Co,"$126,790",/Users/enickles/Desktop/thumbsbw/Maloney_Carolyn_B.jpg
Democrat,Representative,New York,Sean Patrick Maloney,"Agriculture  
Transportation and Infrastructure ",5,$0,$0,Lawyers/Law Firms,"$1,199,163","Willkie, Farr & Gallagher","$97,500",/Users/enickles/Desktop/thumbsbw/Maloney_Sean_Patrick.jpg
Democrat,Senator,West Virginia,Joe Manchin III,"Appropriations 
Energy and Natural Resources
Veterans' Affairs
Joint Select Committee on Solvency of Multiemployer Pension Plans 
Select Committee on Intelligence",8,"$48,334","$11,450",Lawyers/Law Firms,"$902,063",FirstEnergy Corp,"$144,450",/Users/enickles/Desktop/thumbsbw/Manchin_Joe.jpg
Republican,Representative,Texas,Kenny Marchant,"Ethics  
Ways and Means ",13,"$25,114","$14,814",Insurance,"$440,282",Credit Union National Assn,"$81,250",/Users/enickles/Desktop/thumbsbw/Marchant_Kenny.jpg
Republican,Representative,Pennsylvania,Tom Marino,"Foreign Affairs  
Judiciary ",7,"$26,025","$8,000",Retired,"$224,334",Comcast Corp,"$38,200",/Users/enickles/Desktop/thumbsbw/Marino_Tom.jpg
Democrat,Senator,Massachusetts,Edward J. Markey,"Commerce, Science, and Transportation
Environment and Public Works 
Foreign Relations
Small Business and Entrepreneurship",5,$0,$0,Lawyers/Law Firms,"$2,966,203",League of Conservation Voters,"$215,421",/Users/enickles/Desktop/thumbsbw/Markey_Edward_J.jpg
Republican,Representative,Kansas,Roger W. Marshall,"Agriculture  
Science, Space, and Technology  
Small Business ",1,"$4,500","$3,500",Crop Production & Basic Processing,"$94,881",Poet LLC,"$15,400",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Kentucky,Thomas Massie,"Oversight and Government Reform  
Science, Space, and Technology  
Transportation and Infrastructure ",6,"$39,817","$2,000",Republican/Conservative,"$203,098",Club for Growth,"$118,557",/Users/enickles/Desktop/thumbsbw/Massie_Thomas.jpg
Republican,Representative,Florida,Brian J. Mast,"Foreign Affairs  
Transportation and Infrastructure ",1,"$40,184","$32,519",Retired,"$258,710",Silgan Holdings,"$23,500",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,California,Doris O. Matsui,Energy and Commerce ,13,$0,$0,Lawyers/Law Firms,"$642,607","Kelley, Drye & Warren","$81,749",/Users/enickles/Desktop/thumbsbw/Matsui_Doris_O.jpg
Republican,Senator,Arizona,John McCain,"Armed Services
Homeland Security and Governmental Affairs 
Indian Affairs
Select Committee on Intelligence",31,"$654,883","$7,755,701",Retired,"$37,825,672",Merrill Lynch,"$434,920",/Users/enickles/Desktop/thumbsbw/McCain_John.jpg
Republican,Representative,California,Kevin McCarthy,Majority Leader ,11,"$110,340","$33,940",Securities & Investment,"$2,158,502",Goldman Sachs,"$238,350",/Users/enickles/Desktop/thumbsbw/McCarthy_Kevin.jpg
Democrat,Senator,Missouri,Claire McCaskill,"Armed Services
Finance 
Homeland Security and Governmental Affairs",11,$0,"-$769,043",Lawyers/Law Firms,"$6,195,331",EMILY's List,"$4,309,547",/Users/enickles/Desktop/thumbsbw/McCaskill_Claire.jpg
Republican,Representative,Texas,Michael T. McCaul,"Homeland Security, Chairman  
Foreign Affairs ",13,"$78,966","$28,916",Real Estate,"$573,718",iHeartCommunications Inc,"$140,700",/Users/enickles/Desktop/thumbsbw/McCaul_Michael_T.jpg
Republican,Representative,California,Tom McClintock,"Budget  
Natural Resources ",9,"$114,248","$52,842",Retired,"$932,235",Technical Maintenance Support Inc,"$82,600",/Users/enickles/Desktop/thumbsbw/McClintock_Tom.jpg
Democrat,Representative,Minnesota,Betty McCollum,Appropriations ,17,$0,$0,Lawyers/Law Firms,"$490,552",EMILY's List,"$135,984",/Users/enickles/Desktop/thumbsbw/McCollum_Betty.jpg
Republican,Senator,Kentucky,Mitch McConnell,"Agriculture, Nutrition, and Forestry
Appropriations 
Rules and Administration 
Select Committee on Intelligence",33,"$906,625","$1,261,874",Securities & Investment,"$4,281,363",Blackstone Group,"$313,100",/Users/enickles/Desktop/thumbsbw/McConnell_Mitch.jpg
Democrat,Representative,Virginia,A. Donald McEachin,"Armed Services  
Natural Resources ",1,$0,$0,Lawyers/Law Firms,"$35,278",Dominion Resources,"$13,449",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Massachusetts,James P. McGovern,"Agriculture  
Rules ",21,$0,$0,Lawyers/Law Firms,"$632,182",American Assn for Justice,"$100,000",/Users/enickles/Desktop/thumbsbw/McGovern_James_P.jpg
Republican,Representative,North Carolina,Patrick T. McHenry,Financial Services ,13,"$70,699","$43,070",Securities & Investment,"$1,064,406",Signature Bank,"$150,150",/Users/enickles/Desktop/thumbsbw/McHenry_Patrick_T.jpg
Republican,Representative,West Virginia,David B. McKinley,Energy and Commerce ,7,"$19,800","$10,500",Mining,"$656,629",Mepco LLC,"$79,250",/Users/enickles/Desktop/thumbsbw/McKinley_David_B.jpg
Democrat,Representative,California,Jerry McNerney,"Energy and Commerce  
Science, Space, and Technology ",11,$0,"-$86,717",Retired,"$1,174,546",ActBlue,"$207,460",/Users/enickles/Desktop/thumbsbw/McNerney_Jerry.jpg
Republican,Representative,Arizona,Martha McSally,"Armed Services  
Homeland Security ",3,"$1,999,037","$68,234",Retired,"$2,128,976",Elliott Management,"$110,732",/Users/enickles/Desktop/thumbsbw/McSally_Martha.jpg
Republican,Representative,North Carolina,Mark Meadows,"Foreign Affairs  
Oversight and Government Reform  
Transportation and Infrastructure ",5,"$13,561","$4,150",Retired,"$305,609",House Freedom Fund,"$58,650",/Users/enickles/Desktop/thumbsbw/Meadows_Mark.jpg
Republican,Representative,Pennsylvania,Patrick Meehan,Ways and Means ,7,"$36,663","$34,308",Lawyers/Law Firms,"$1,121,716",Cozen O'Connor,"$118,198",/Users/enickles/Desktop/thumbsbw/Meehan_Patrick.jpg
Democrat,Representative,New York,Gregory W. Meeks,"Financial Services  
Foreign Affairs ",21,$0,$0,Securities & Investment,"$824,355",National Assn of Realtors,"$93,500",/Users/enickles/Desktop/thumbsbw/Meeks_Gregory_W.jpg
Democrat,Senator,New Jersey,Robert Menendez,"Banking, Housing, and Urban Affairs
Finance 
Committee on Foreign Relations",12,$0,$0,Lawyers/Law Firms,"$4,902,014",Lowenstein Sandler LLP,"$327,507",/Users/enickles/Desktop/thumbsbw/Menendez_Robert.jpg
Democrat,Representative,New York,Grace Meng,Appropriations ,5,$0,$0,Real Estate,"$225,233",American Federation of Teachers,"$35,000",/Users/enickles/Desktop/thumbsbw/Meng_Grace.jpg
Democrat,Senator,Oregon,Jeff Merkley,"Appropriations 
Budget
Environment and Public Works 
Foreign Relations",9,$0,"-$112,219",Retired,"$1,107,302",JStreetPAC,"$117,080",/Users/enickles/Desktop/thumbsbw/Merkley_Jeff.jpg
Republican,Representative,Indiana,Luke Messer,"Education and the Workforce  
Financial Services ",5,"$32,300","$8,000",Insurance,"$535,159",Ice Miller LLP,"$97,738",/Users/enickles/Desktop/thumbsbw/Messer_Luke.jpg
Republican,Representative,Michigan,Paul Mitchell,"Education and the Workforce  
Oversight and Government Reform  
Transportation and Infrastructure ",1,"$4,000","$3,000",Air Transport,"$33,499",United Parcel Service,"$10,000",/Users/enickles/Desktop/thumbsbw/blank.png
