Party	Title	State	Full Name	Committees	Committee 1	Committee 2	Committee 3	Committee 4	Committee 5	Committee 6	Committee 7	Years in Current Chamber	NRA Rank	NRA Grand Total	Top Industry	Total Industry Amount	Top Contributor	Total Contributor Amount	@Photo
Republican	Representative	Indiana	Larry Bucshon	Energy and Commerce 	Energy and Commerce 							7	183	$11,379	Health Professionals	$837,495	American Academy of Ophthalmology	$46,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Bucshon_Larry.jpg
Republican	Representative	Kentucky	James Comer	Agriculture   Oversight and Government Reform   Small Business 	Agriculture  	Oversight and Government Reform  	Small Business 					2	184	$11,192	Crop Production & Basic Processing	$43,383	Farm Credit Council	$10,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Georgia	Doug Collins	Judiciary   Rules 	Judiciary  	Rules 						5	185	$11,140	Leadership PACs	$195,707	AFLAC Inc	$36,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Collins_Doug.jpg
Democratic	Representative	Florida	Alcee L. Hastings	Rules 	Rules 							25	186	$10,900	Lawyers/Law Firms	$712,328	Teamsters Union	$106,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hastings_Alcee_L.jpg
Republican	Representative	Michigan	John R. Moolenaar	Appropriations 	Appropriations 							3	187	$10,554	Leadership PACs	$200,100	DowDuPont	$152,390	Macintosh HD:Users:enickles:Desktop:thumbsbw:Moolenaar_John_R.jpg
Republican	Representative	Kentucky	Brett Guthrie	Education and the Workforce   Energy and Commerce 	Education and the Workforce  	Energy and Commerce 						9	188	$10,500	Health Professionals	$986,143	Blue Cross/Blue Shield	$55,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Guthrie_Brett.jpg
Republican	Representative	Missouri	Billy Long	Energy and Commerce 	Energy and Commerce 							7	188	$10,500	Health Professionals	$339,300	Leggett & Platt	$55,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Long_Billy.jpg
Republican	Representative	West Virginia	David B. McKinley	Energy and Commerce 	Energy and Commerce 							7	188	$10,500	Mining	$656,629	Mepco LLC	$79,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:McKinley_David_B.jpg
Republican	Representative	Florida	Thomas J. Rooney	Appropriations   Permanent Select Committee on Intelligence 	Appropriations  	Permanent Select Committee on Intelligence 						9	188	$10,500	Real Estate	$296,296	NextEra Energy	$80,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Pennsylvania	Glenn Thompson	Agriculture   Education and the Workforce   Natural Resources 	Agriculture  	Education and the Workforce  	Natural Resources 					9	188	$10,500	Oil & Gas	$381,552	Varischetti & Sons	$76,305	Macintosh HD:Users:enickles:Desktop:thumbsbw:Thompson_Glenn.jpg
Republican	Representative	Kentucky	Andy Barr	Financial Services 	Financial Services 							5	193	$10,315	Retired	$681,213	Alliance Resource Partners	$137,850	Macintosh HD:Users:enickles:Desktop:thumbsbw:Barr_Andy.jpg
Democratic	Representative	Wisconsin	Ron Kind	Ways and Means 	Ways and Means 							21	194	$10,282	Insurance	$1,383,330	Northwestern Mutual	$209,910	Macintosh HD:Users:enickles:Desktop:thumbsbw:Kind_Ron.jpg
Democratic	Representative	Florida	Charlie Crist	Financial Services   Science, Space, and Technology 	Financial Services  	Science, Space, and Technology 						1	195	$10,150	Lawyers/Law Firms	$230,551	Fran Haasch Law Group	$32,000	
Republican	Representative	Michigan	Mike Bishop	Ways and Means 	Ways and Means 							3	196	$10,082	Leadership PACs	$385,050	Amway/Alticor Inc	$39,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:Bishop_Mike.jpg
Republican	Representative	South Carolina	Ralph Norman	Science, Space, and Technology   Small Business 	Science, Space, and Technology  	Small Business 						1	197	$10,029	Leadership PACs	$110,100	House Freedom Fund	$44,900	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	South Carolina	James E. Clyburn	Assistant Democratic Leader 	Assistant Democratic Leader 							25	198	$9,900	Lawyers/Law Firms	$1,073,094	American Federation of State/Cnty/Munic Employees	$128,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Clyburn_James_E.jpg
Republican	Representative	New York	Peter T. King	Financial Services   Homeland Security   Permanent Select Committee on Intelligence 	Financial Services  	Homeland Security  	Permanent Select Committee on Intelligence 					25	198	$9,900	Securities & Investment	$837,980	Carpenters & Joiners Union	$102,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:King_Peter_T.jpg
Democratic	Representative	Oregon	Kurt Schrader	Energy and Commerce 	Energy and Commerce 							9	200	$9,887	Health Professionals	$596,120	Blue Cross/Blue Shield	$97,050	Macintosh HD:Users:enickles:Desktop:thumbsbw:Schrader_Kurt.jpg
Republican	Representative	California	Doug LaMalfa	Agriculture   Natural Resources   Transportation and Infrastructure 	Agriculture  	Natural Resources  	Transportation and Infrastructure 					5	201	$9,590	Crop Production & Basic Processing	$500,222	Ernst & Young	$32,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:LaMalfa_Doug.jpg
Republican	Representative	Arkansas	Bruce Westerman	Budget   Natural Resources   Transportation and Infrastructure 	Budget  	Natural Resources  	Transportation and Infrastructure 					3	202	$9,504	Forestry & Forest Products	$251,542	Murphy Oil	$26,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:Westerman_Bruce.jpg
Republican	Representative	Texas	Blake Farenthold	Judiciary   Oversight and Government Reform   Transportation and Infrastructure 	Judiciary  	Oversight and Government Reform  	Transportation and Infrastructure 					7	203	$9,500	Oil & Gas	$329,977	Koch Industries	$35,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Farenthold_Blake.jpg
Republican	Representative	Arkansas	Steve Womack	Appropriations  Budget, Chair   Joint Select Committee on Budget and Appropriations Process Reform, Co-Chair	Appropriations 	Budget, Chair  	Joint Select Committee on Budget and Appropriations Process Reform, Co-Chair					7	203	$9,500	Retail Sales	$351,975	Wal-Mart Stores	$178,600	Macintosh HD:Users:enickles:Desktop:thumbsbw:Womack_Steve.jpg
Republican	Representative	Mississippi	Gregg Harper	Energy and Commerce  Joint Committee on Printing (House Administration), Chairman   Joint Committee on the Library (House Administration), Chairman	Energy and Commerce 	Joint Committee on Printing (House Administration), Chairman  	Joint Committee on the Library (House Administration), Chairman					9	205	$9,150	Oil & Gas	$451,110	AT&T Inc	$56,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Harper_Gregg.jpg
Republican	Representative	Arkansas	Eric A. "Rick" Crawford	Agriculture   Transportation and Infrastructure   Permanent Select Committee on Intelligence 	Agriculture  	Transportation and Infrastructure  	Permanent Select Committee on Intelligence 					7	206	$8,977	Crop Production & Basic Processing	$555,962	Stephens Group	$97,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Crawford_Eric_A._.jpg
Republican	Representative	Tennessee	Charles J. "Chuck" Fleischmann	Appropriations 	Appropriations 							7	207	$8,922	Leadership PACs	$349,599	DeRoyal Industries	$89,800	Macintosh HD:Users:enickles:Desktop:thumbsbw:Fleischmann_Charles_J._.jpg
Republican	Representative	North Carolina	George Holding	Ways and Means 	Ways and Means 							5	208	$8,797	Lawyers/Law Firms	$443,345	Ward & Smith	$126,550	Macintosh HD:Users:enickles:Desktop:thumbsbw:Holding_George.jpg
Republican	Representative	Illinois	Mike Bost	Agriculture   Transportation and Infrastructure   Veterans' Affairs 	Agriculture  	Transportation and Infrastructure  	Veterans' Affairs 					3	209	$8,760	Leadership PACs	$555,454	Exelon Corp	$36,100	Macintosh HD:Users:enickles:Desktop:thumbsbw:Bost_Mike.jpg
Republican	Representative	New York	Chris Collins	Energy and Commerce 	Energy and Commerce 							5	210	$8,695	Health Professionals	$273,516	Delaware North Companies	$73,137	Macintosh HD:Users:enickles:Desktop:thumbsbw:Collins_Chris.jpg
Republican	Representative	Pennsylvania	Scott Perry	Foreign Affairs   Homeland Security   Transportation and Infrastructure 	Foreign Affairs  	Homeland Security  	Transportation and Infrastructure 					5	211	$8,500	Leadership PACs	$110,000	National Auto Dealers Assn	$35,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Perry_Scott.jpg
Republican	Representative	Oklahoma	Markwayne Mullin	Energy and Commerce 	Energy and Commerce 							5	212	$8,311	Oil & Gas	$533,050	Devon Energy	$54,550	Macintosh HD:Users:enickles:Desktop:thumbsbw:Mullin_Markwayne.jpg
Republican	Senator	Utah	Mike Lee	Commerce, Science, and Transportation Energy and Natural Resources Judiciary  Joint Economic Committee	Commerce, Science, and Transportation	Energy and Natural Resources	Judiciary 	Joint Economic Committee				7	213	$8,291	Republican/Conservative	$807,453	Club for Growth	$360,732	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lee_Mike.jpg
Republican	Representative	Alabama	Bradley Byrne	Armed Services   Education and the Workforce   Rules 	Armed Services  	Education and the Workforce  	Rules 					4	214	$8,237	Lawyers/Law Firms	$239,750	Blue Cross/Blue Shield	$40,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Byrne_Bradley.jpg
Republican	Representative	Missouri	Ann Wagner	Financial Services   Foreign Affairs 	Financial Services  	Foreign Affairs 						5	215	$8,187	Securities & Investment	$768,600	Crawford Group	$368,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:Wagner_Ann.jpg
Republican	Representative	California	Paul Cook	Armed Services   Foreign Affairs   Natural Resources 	Armed Services  	Foreign Affairs  	Natural Resources 					5	216	$8,000	Casinos/Gambling	$234,716	CEMEX Inc	$37,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cook_Paul.jpg
Republican	Representative	Kansas	Lynn Jenkins	Ways and Means 	Ways and Means 							9	216	$8,000	Health Professionals	$638,327	QC Holdings	$153,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:Jenkins_Lynn.jpg
Republican	Representative	Pennsylvania	Tom Marino	Foreign Affairs   Judiciary 	Foreign Affairs  	Judiciary 						7	216	$8,000	Retired	$224,334	Comcast Corp	$38,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:Marino_Tom.jpg
Republican	Representative	Indiana	Luke Messer	Education and the Workforce   Financial Services 	Education and the Workforce  	Financial Services 						5	216	$8,000	Insurance	$535,159	Ice Miller LLP	$97,738	Macintosh HD:Users:enickles:Desktop:thumbsbw:Messer_Luke.jpg
Republican	Representative	Utah	Chris Stewart	Appropriations   Permanent Select Committee on Intelligence 	Appropriations  	Permanent Select Committee on Intelligence 						5	216	$8,000	Oil & Gas	$225,350	Zions Bancorp	$32,740	Macintosh HD:Users:enickles:Desktop:thumbsbw:Stewart_Chris.jpg
Republican	Representative	Virginia	Thomas A. Garrett Jr.	Education and the Workforce   Foreign Affairs   Homeland Security 	Education and the Workforce  	Foreign Affairs  	Homeland Security 					1	221	$7,620	Leadership PACs	$63,000	House Freedom Fund	$23,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Minnesota	Jason Lewis	Budget   Education and the Workforce   Transportation and Infrastructure  Joint Commitee on Taxation	Budget  	Education and the Workforce  	Transportation and Infrastructure 	Joint Commitee on Taxation				1	222	$7,619	Leadership PACs	$140,250	Hubbard Broadcasting	$20,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Texas	Brian Babin	Science, Space, and Technology   Transportation and Infrastructure 	Science, Space, and Technology  	Transportation and Infrastructure 						3	223	$7,500	Health Professionals	$572,769	American Dental Assn	$55,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Babin_Brian.jpg
Republican	Representative	New Jersey	Thomas MacArthur	Financial Services 	Financial Services 							3	224	$7,280	Insurance	$275,436	Votesane PAC	$84,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:MacArthur_Thomas.jpg
Republican	Representative	Louisiana	Mike Johnson	Judiciary   Natural Resources 	Judiciary  	Natural Resources 						1	225	$7,223	Leadership PACs	$46,000	House Freedom Fund	$30,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	New York	Elise M. Stefanik	Armed Services   Education and the Workforce   Permanent Select Committee on Intelligence 	Armed Services  	Education and the Workforce  	Permanent Select Committee on Intelligence 					3	226	$7,179	Securities & Investment	$726,153	Elliott Management	$191,132	Macintosh HD:Users:enickles:Desktop:thumbsbw:Stefanik_Elise_M.jpg
Republican	Representative	South Carolina	Trey Gowdy	Oversight and Government Reform, Chairman   Judiciary   Permanent Select Committee on Intelligence 	Oversight and Government Reform, Chairman  	Judiciary  	Permanent Select Committee on Intelligence 					7	227	$7,150	Retired	$469,636	Koch Industries	$40,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Gowdy_Trey.jpg
Democratic	Senator	Vermont	Patrick J. Leahy	Agriculture, Nutrition, and Forestry Appropriations  Rules and Administration  Judiciary  Joint Committee on the Library	Agriculture, Nutrition, and Forestry	Appropriations 	Rules and Administration 	Judiciary 	Joint Committee on the Library			43	228	$7,000	Lawyers/Law Firms	$2,071,953	Time Warner	$191,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:Leahy_Patrick_J.jpg
Republican	Representative	Indiana	Todd Rokita	Budget   Education and the Workforce   Transportation and Infrastructure 	Budget  	Education and the Workforce  	Transportation and Infrastructure 					7	228	$7,000	Lawyers/Law Firms	$417,722	Kirkland & Ellis	$75,590	Macintosh HD:Users:enickles:Desktop:thumbsbw:Rokita_Todd.jpg
Republican	Representative	Ohio	Brad R. Wenstrup	Armed Services   Veterans' Affairs   Permanent Select Committee on Intelligence 	Armed Services  	Veterans' Affairs  	Permanent Select Committee on Intelligence 					5	228	$7,000	Health Professionals	$381,386	American Financial Group	$134,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:Wenstrup_Brad_R.jpg
Republican	Representative	Kansas	Ron Estes	Education and the Workforce   Homeland Security 	Education and the Workforce  	Homeland Security 						1	231	$6,979	Leadership PACs	$102,700	Northrock Inc	$22,574	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Georgia	Austin Scott	Agriculture   Armed Services 	Agriculture  	Armed Services 						7	232	$6,868	Health Professionals	$341,733	Northrop Grumman	$40,751	Macintosh HD:Users:enickles:Desktop:thumbsbw:Scott_Austin.jpg
Republican	Representative	Missouri	Jason Smith	Budget   Ways and Means 	Budget  	Ways and Means 						5	233	$6,500	Crop Production & Basic Processing	$280,995	Anheuser-Busch	$35,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:Smith_Jason.jpg
Republican	Representative	Texas	Roger Williams	Financial Services 	Financial Services 							5	233	$6,500	Oil & Gas	$859,108	Berkshire Hathaway	$102,101	Macintosh HD:Users:enickles:Desktop:thumbsbw:Williams_Roger.jpg
Republican	Representative	Michigan	Jack Bergman	Budget   Natural Resources   Veterans' Affairs 	Budget  	Natural Resources  	Veterans' Affairs 					1	235	$6,450	Leadership PACs	$90,000	Rdv Corp	$18,900	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Florida	Neal P. Dunn	Agriculture   Science, Space, and Technology   Veterans' Affairs  Joint Select Committee on Solvency of Multiemployer Pension Plans	Agriculture  	Science, Space, and Technology  	Veterans' Affairs 	Joint Select Committee on Solvency of Multiemployer Pension Plans				1	236	$6,199	Health Professionals	$145,120	Atlantic Urological Assoc	$22,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	South Carolina	Tom Rice	Ways and Means 	Ways and Means 							5	237	$6,000	Real Estate	$318,786	Scana Corp	$69,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Rice_Tom.jpg
Republican	Representative	Alabama	Martha Roby	Appropriations   Judiciary 	Appropriations  	Judiciary 						7	237	$6,000	Leadership PACs	$521,065	Aronov Realty Management	$41,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Roby_Martha.jpg
Republican	Representative	Louisiana	Garret Graves	Natural Resources   Transportation and Infrastructure 	Natural Resources  	Transportation and Infrastructure 						3	239	$5,900	Oil & Gas	$372,834	Cajun Industries	$50,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:Graves_Garret.jpg
Republican	Representative	Michigan	David A. Trott	Financial Services 	Financial Services 							3	240	$5,435	Lawyers/Law Firms	$356,685	Trott & Trott	$58,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Trott_David_A.jpg
Republican	Representative	Virginia	Scott Taylor	Appropriations 	Appropriations 							1	241	$5,290	Retired	$98,203	Anheuser-Busch InBev	$15,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Mississippi	Steven M. Palazzo	Appropriations 	Appropriations 							7	242	$5,049	Accountants	$256,348	Huntington Ingalls Industries	$47,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Palazzo_Steven_M.jpg
Republican	Representative	Alabama	Mo Brooks	Armed Services   Foreign Affairs   Science, Space, and Technology 	Armed Services  	Foreign Affairs  	Science, Space, and Technology 					7	243	$5,000	Retired	$243,609	Dynetics Inc	$49,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Brooks_Mo.jpg
Republican	Representative	Florida	Ron DeSantis	Foreign Affairs   Judiciary   Oversight and Government Reform 	Foreign Affairs  	Judiciary  	Oversight and Government Reform 					5	243	$5,000	Retired	$1,062,602	Club for Growth	$267,620	Macintosh HD:Users:enickles:Desktop:thumbsbw:DeSantis_Ron.jpg
Republican	Representative	Georgia	Barry Loudermilk	Financial Services   Science, Space, and Technology  Joint Committee on the Library (House Administration)	Financial Services  	Science, Space, and Technology 	Joint Committee on the Library (House Administration)					3	243	$5,000	Leadership PACs	$167,600	Club for Growth	$68,959	Macintosh HD:Users:enickles:Desktop:thumbsbw:Loudermilk_Barry.jpg
Republican	Representative	Alabama	Gary J. Palmer	Budget   Oversight and Government Reform 	Budget  	Oversight and Government Reform 						3	243	$5,000	Retired	$423,602	Club for Growth	$71,854	Macintosh HD:Users:enickles:Desktop:thumbsbw:Palmer_Gary_J.jpg
Republican	Representative	Indiana	Trey Hollingsworth	Financial Services 	Financial Services 							1	247	$4,865	Insurance	$82,250	Credit Union National Assn	$12,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Texas	John Ratcliffe	Ethics   Homeland Security   Judiciary 	Ethics  	Homeland Security  	Judiciary 					3	248	$4,500	Republican/Conservative	$177,861	Club for Growth	$111,105	Macintosh HD:Users:enickles:Desktop:thumbsbw:Ratcliffe_John.jpg
Republican	Representative	Georgia	Earl L. "Buddy" Carter	Energy and Commerce 	Energy and Commerce 							3	249	$4,352	Health Professionals	$465,450	Rite Aid Corp	$36,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Carter_Earl_L._.jpg
Republican	Representative	Florida	Ted S. Yoho	Agriculture   Foreign Affairs 	Agriculture  	Foreign Affairs 						5	250	$4,184	Crop Production & Basic Processing	$214,749	National Cattlemen's Beef Assn	$37,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Yoho_Ted_S.jpg
Republican	Representative	North Carolina	Mark Meadows	Foreign Affairs   Oversight and Government Reform   Transportation and Infrastructure 	Foreign Affairs  	Oversight and Government Reform  	Transportation and Infrastructure 					5	251	$4,150	Retired	$305,609	House Freedom Fund	$58,650	Macintosh HD:Users:enickles:Desktop:thumbsbw:Meadows_Mark.jpg
Republican	Representative	Virginia	Dave Brat	Budget   Education and the Workforce   Small Business 	Budget  	Education and the Workforce  	Small Business 					4	252	$4,000	Retired	$440,532	Altria Group	$28,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:Brat_Dave.jpg
Republican	Representative	North Carolina	Ted Budd	Financial Services 	Financial Services 							1	252	$4,000	Commercial Banks	$52,000	Old Dominion Freight Line	$14,100	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Wisconsin	Glenn Grothman	Budget   Education and the Workforce   Oversight and Government Reform 	Budget  	Education and the Workforce  	Oversight and Government Reform 					3	252	$4,000	Retired	$346,163	Prosperity Action	$30,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Grothman_Glenn.jpg
Republican	Representative	Georgia	Jody B. Hice	Armed Services   Natural Resources   Oversight and Government Reform 	Armed Services  	Natural Resources  	Oversight and Government Reform 					3	252	$4,000	Retired	$248,834	Janus Research	$25,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hice_Jody_B.jpg
Republican	Representative	Washington	Dan Newhouse	Appropriations   Rules 	Appropriations  	Rules 						3	252	$4,000	Crop Production & Basic Processing	$349,194	Boeing Co	$30,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Newhouse_Dan.jpg
Republican	Representative	Oklahoma	Steve Russell	Armed Services   Oversight and Government Reform 	Armed Services  	Oversight and Government Reform 						3	252	$4,000	Leadership PACs	$217,300	Devon Energy	$35,650	Macintosh HD:Users:enickles:Desktop:thumbsbw:Russell_Steve.jpg
Republican	Representative	California	Mimi Walters	Energy and Commerce   Ethics 	Energy and Commerce  	Ethics 						3	252	$4,000	Real Estate	$412,991	Cox Enterprises	$53,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Walters_Mimi.jpg
Republican	Representative	Pennsylvania	Lou Barletta	Education and the Workforce   Homeland Security   Transportation and Infrastructure 	Education and the Workforce  	Homeland Security  	Transportation and Infrastructure 					7	259	$3,915	Leadership PACs	$544,362	Diamond Manufacturing	$64,125	Macintosh HD:Users:enickles:Desktop:thumbsbw:Barletta_Lou.jpg
Democratic	Representative	New Mexico	Ben Ray Lujan	Energy and Commerce 	Energy and Commerce 							9	260	$3,500	Casinos/Gambling	$520,600	Votesane PAC	$66,350	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lujan_Ben_Ray.jpg
Republican	Representative	Kansas	Roger W. Marshall	Agriculture   Science, Space, and Technology   Small Business 	Agriculture  	Science, Space, and Technology  	Small Business 					1	260	$3,500	Crop Production & Basic Processing	$94,881	Poet LLC	$15,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Ohio	Bob Gibbs	Agriculture   Transportation and Infrastructure 	Agriculture  	Transportation and Infrastructure 						7	262	$3,198	Leadership PACs	$354,418	Allied Machine & Engineering	$75,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Gibbs_Bob.jpg
Republican	Representative	Missouri	Vicky Hartzler	Agriculture   Armed Services 	Agriculture  	Armed Services 						7	263	$3,160	Retired	$324,536	Orscheln Group	$46,850	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hartzler_Vicky.jpg
Republican	Representative	Oklahoma	Jim Bridenstine	Armed Services   Science, Space, and Technology 	Armed Services  	Science, Space, and Technology 						5	264	$3,000	Health Professionals	$241,265	American Optometric Assn	$30,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Bridenstine_Jim.jpg
Republican	Representative	Indiana	Susan W. Brooks	Ethics, Chairwoman   Energy and Commerce 	Ethics, Chairwoman  	Energy and Commerce 						5	264	$3,000	Lawyers/Law Firms	$347,515	Eli Lilly & Co	$74,491	Macintosh HD:Users:enickles:Desktop:thumbsbw:Brooks_Susan_W.jpg
Republican	Representative	Minnesota	Tom Emmer	Financial Services 	Financial Services 							3	264	$3,000	Retired	$428,625	Hubbard Broadcasting	$47,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Emmer_Tom.jpg
Republican	Representative	Georgia	A. Drew Ferguson IV	Budget   Education and the Workforce   Transportation and Infrastructure 	Budget  	Education and the Workforce  	Transportation and Infrastructure 					1	264	$3,000	Health Professionals	$127,200	American Dental Assn	$22,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Tennessee	David Kustoff	Financial Services 	Financial Services 							1	264	$3,000	Real Estate	$77,538	Brown Brothers Harriman & Co	$17,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Michigan	Paul Mitchell	Education and the Workforce   Oversight and Government Reform   Transportation and Infrastructure 	Education and the Workforce  	Oversight and Government Reform  	Transportation and Infrastructure 					1	264	$3,000	Air Transport	$33,499	United Parcel Service	$10,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	North Carolina	Mark Walker	Joint Committee on Printing (House Administration)  Oversight and Government Reform 	Joint Committee on Printing (House Administration) 	Oversight and Government Reform 						3	264	$3,000	Retired	$248,574	Reynolds American	$48,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:Walker_Mark.jpg
Republican	Representative	Tennessee	Scott DesJarlais	Agriculture   Armed Services   Oversight and Government Reform 	Agriculture  	Armed Services  	Oversight and Government Reform 					7	271	$2,973	Leadership PACs	$384,950	Walker Die Casting	$66,850	Macintosh HD:Users:enickles:Desktop:thumbsbw:DesJarlais_Scott.jpg
Republican	Representative	North Carolina	David Rouzer	Agriculture   Transportation and Infrastructure 	Agriculture  	Transportation and Infrastructure 						3	272	$2,427	Crop Production & Basic Processing	$728,526	Prestage Farms	$54,050	Macintosh HD:Users:enickles:Desktop:thumbsbw:Rouzer_David.jpg
Republican	Representative	Texas	Jodey C. Arrington	Agriculture   Budget   Veterans' Affairs  Joint Select Committee on Budget and Appropriations Process Reform	Agriculture  	Budget  	Veterans' Affairs 	Joint Select Committee on Budget and Appropriations Process Reform				1	273	$2,000	Crop Production & Basic Processing	$94,566	Dian Graves Owen Foundation	$13,600	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Indiana	Jim Banks	Armed Services   Science, Space, and Technology   Veterans' Affairs 	Armed Services  	Science, Space, and Technology  	Veterans' Affairs 					1	273	$2,000	Defense Electronics	$42,999	Harris Corp	$15,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Arizona	Andy Biggs	Judiciary   Science, Space, and Technology 	Judiciary  	Science, Space, and Technology 						1	273	$2,000	Leadership PACs	$30,300	House Freedom Fund	$20,800	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Ohio	Warren Davidson	Financial Services 	Financial Services 							2	273	$2,000	Republican/Conservative	$97,684	House Freedom Fund	$58,525	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Mississippi	Trent Kelly	Agriculture   Armed Services   Small Business 	Agriculture  	Armed Services  	Small Business 					3	273	$2,000	Leadership PACs	$98,900	Dunlap & Kyle	$25,800	Macintosh HD:Users:enickles:Desktop:thumbsbw:Kelly_Trent.jpg
Republican	Representative	Kentucky	Thomas Massie	Oversight and Government Reform   Science, Space, and Technology   Transportation and Infrastructure 	Oversight and Government Reform  	Science, Space, and Technology  	Transportation and Infrastructure 					6	273	$2,000	Republican/Conservative	$203,098	Club for Growth	$118,557	Macintosh HD:Users:enickles:Desktop:thumbsbw:Massie_Thomas.jpg
Republican	Representative	Florida	Ileana Ros-Lehtinen	Foreign Affairs   Permanent Select Committee on Intelligence 	Foreign Affairs  	Permanent Select Committee on Intelligence 						29	273	$2,000	Pro-Israel	$1,068,284	Southern Glazer's Wine & Spirits	$79,203	Macintosh HD:Users:enickles:Desktop:thumbsbw:Ros-Lehtinen_Ileana.jpg
Republican	Representative	Texas	Randy K. Weber Sr.	Science, Space, and Technology   Transportation and Infrastructure 	Science, Space, and Technology  	Transportation and Infrastructure 						5	273	$2,000	Oil & Gas	$250,050	McCorvey Sheet Metal Works	$36,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:Weber_Randy_K.jpg
Republican	Representative	Georgia	Rob Woodall	Budget   Rules   Transportation and Infrastructure  Joint Select Committee on Budget and Appropriations Process Reform	Budget  	Rules  	Transportation and Infrastructure 	Joint Select Committee on Budget and Appropriations Process Reform				7	273	$2,000	Health Professionals	$171,900	Credit Union National Assn	$55,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Woodall_Rob.jpg
